鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
斗南鎮,房地(土地+建物),雲林縣斗南鎮建國三路727巷1~30號,129.1,住,,,1090217,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1081029,195.3,4,2,3,有,無,7250000,37122,,0.0,0,,RPQNMLTJMHPFFBP07CA
斗南鎮,房地(土地+建物),雲林縣斗南鎮建國三路727巷1~30號,129.1,住,,,1090107,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1081029,195.3,4,2,3,有,無,7300000,37378,,0.0,0,,RPRNMLTJMHPFFBP17CA
斗南鎮,房地(土地+建物),雲林縣斗南鎮建國三路721~750號,91.0,住,,,1090111,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1081029,195.6,4,2,3,有,無,7200000,36810,,0.0,0,,RPSNMLTJMHPFFBP27CA
斗六市,房地(土地+建物)+車位,雲林縣斗六市大智街1~30號,20.14,住,,,1090311,土地1建物2車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830105,121.33,3,2,2,有,有,3560000,29341,坡道機械,0.0,0,,RPSOMLPLLHPFFAP96CA
斗六市,土地,大潭段社口小段1~30地號,152.0,住,,,1090221,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13794000,90750,,0.0,0,,RPQNMLQLLHPFFAP76CA
斗六市,土地,梅林西段721~750地號,1968.92,,特定農業區,農牧用地,1090225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1420900,722,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQOMLQLLHPFFAP86CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興北路121~150號,149.36,住,,,1090306,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1021101,171.87,4,2,3,有,無,8500000,49456,,0.0,0,,RPROMLQJMHPFFDP17CA
土庫鎮,土地,綺湖段511~540地號,914.0,,特定農業區,農牧用地,1090304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,914000,1000,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUOMLRJMHPFFDP57CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮三合路31~60號,88.8,,特定農業區,甲種建築用地,1090224,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0830530,205.43,4,3,5,有,無,4550000,22149,,0.0,0,,RPTNMLPLLHPFFDP27CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮頂南路31~60號,68.22,,鄉村區,乙種建築用地,1090219,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0691223,102.08,0,0,0,無,無,7500000,73472,,0.0,0,,RPUNMLPLLHPFFDP37CA
崙背鄉,土地,貓兒干段1651~1680地號,3093.5,,特定農業區,農牧用地,1090315,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2541800,822,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLKMLHPFFCP09CA
西螺鎮,土地,漢北段1021~1050地號,1094.91,住,,,1090110,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,26923520,24590,,0.0,0,,RPUNMLQLLHPFFCP37CA
崙背鄉,房地(土地+建物),雲林縣崙背鄉建國路31~60號,320.08,商,,,1090305,土地2建物2車位0,全,二層,透天厝,見其他登記事項,見其他登記事項,0931001,373.28,0,0,0,無,無,45000000,120553,,0.0,0,,RPSNMLLJMHPFFCP56CA
崙背鄉,房地(土地+建物),雲林縣崙背鄉仁愛街151~180號,132.12,住,,,1090219,土地5建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1081104,189.31,4,3,4,有,無,7600000,40146,,0.0,0,,RPPNMLQLLHPFFCP86CA
崙背鄉,房地(土地+建物),雲林縣崙背鄉忠孝北街31~60號,80.51,住,,,1071005,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1081213,147.19,4,0,2,有,無,6380000,43345,,0.0,0,,RPUNMLSKMHPFFCP57CA
崙背鄉,房地(土地+建物),雲林縣崙背鄉忠孝北街45巷1~30號,158.06,住,,,1071215,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1081213,184.63,5,1,2,有,無,6580000,35639,,0.0,0,,RPQNMLSKMHPFFCP17CA
西螺鎮,房地(土地+建物),雲林縣西螺鎮振興路211~240號,2126.25,,特定農業區,農牧用地,1090101,土地3建物1車位0,一層，二層,二層,農舍,農舍,加強磚造,0661220,220.72,5,2,2,有,無,27013980,,,0.0,0,,RPRNMLKLMHPFFCP56CA
四湖鄉,土地,洋北段931~960地號,628.58,,鄉村區,乙種建築用地,1090105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1901444,3025,,0.0,0,,RPQOMLLMLHPFFEP86CA
莿桐鄉,土地,大美段211~240地號,620.9,,一般農業區,甲種建築用地,1080428,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14000000,22548,,0.0,0,"含增建或未登記建物。;買賣雙方自行議價土地增值稅由買方負擔,土地增值稅額新台幣400422元土地款新台幣壹仟?佰玖拾伍萬元正.建物款新台幣伍萬元正",RPQNMLNKMHPFFAP56DA
