鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
東石鄉,房地(土地+建物),港墘厝31~60號,1889.0,,鄉村區,乙種建築用地,1091006,土地2建物1車位0,全,一層,透天厝,住家用,磚造,0590715,129.67,1,2,2,有,無,9000000,69407,,0.0,0,,RPQNMLPKKIPFFBQ86DA,129.67,0.0,0.0,無,0084
朴子市,房地(土地+建物),四維路三段91~120號,105.0,都市：其他:住宅區,,,1091114,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0740110,131.95,2,2,2,有,無,5250000,39788,,0.0,0,其他增建；,RPROMLPKKIPFFBQ07DA,126.19,5.76,0.0,無,
朴子市,房地(土地+建物),仁和二路121~150號,11.75,都市：其他:住宅區,,,1091212,土地1建物2車位0,二層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,50.08,2,2,2,有,有,1228000,24521,,0.0,0,,RPUNMLLLKIPFFBQ96DA,26.92,0.0,3.2,有,
朴子市,房地(土地+建物),南通路三段448巷25弄31~60號,94.85,都市：其他:住宅區,,,1091120,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,0820708,174.11,4,2,3,有,無,6880000,39515,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLMLKIPFFBQ17DA,159.8,14.31,0.0,無,
朴子市,房地(土地+建物),海通路121~150號,147.0,都市：其他:住宅區,,,1091103,土地1建物2車位0,全,三層,透天厝,住商用,見其他登記事項,0901011,271.17,6,3,6,有,無,26500000,97725,,0.0,0,,RPRNMLNLKIPFFBQ86DA,242.29,0.0,28.88,無,
布袋鎮,土地,景山段631~660地號,118.72,都市：其他:住宅區,,,1091115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1436512,12100,,0.0,0,,RPSNMLNLKIPFFBQ96DA,0.0,0.0,0.0,無,
布袋鎮,土地,景山段631~660地號,112.44,,,,1091115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1360524,12100,,0.0,0,,RPTNMLNLKIPFFBQ07DA,0.0,0.0,0.0,無,
布袋鎮,土地,景山段631~660地號,120.57,都市：其他:住宅區,,,1091115,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1276534,10587,,0.0,0,,RPUNMLNLKIPFFBQ17DA,0.0,0.0,0.0,無,
朴子市,房地(土地+建物),菜埔361~390號,93.9,,特定農業區,甲種建築用地,1091023,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1080712,158.94,4,2,3,有,無,8000000,50333,,0.0,0,其他增建；,RPWNMLRKKIPFFBQ67DA,142.14,0.0,16.8,無,0085
民雄鄉,土地,秀林段2191~2220地號,1414.37,,一般農業區,農牧用地,1091212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,1768,,0.0,0,,RPUNMLLLKIPFFCQ07DA,0.0,0.0,0.0,無,
