鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
小港區,房地(土地+建物)+車位,中光街31~60號,28.66,都市：其他:第三種住宅區。,,,1100131,土地1建物1車位1,一層，二層，騎樓,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0841020,139.78,2,2,2,有,無,4300000,30763,坡道機械,0.0,0,,RPPOMLNLKHGGFCE37DA,92.14,11.52,0.0,有,
前鎮區,房地(土地+建物),天倫街1~30號,24.38,都市：其他:第三種住宅區。,,,1100113,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820531,143.75,4,2,2,有,無,3800000,26435,,0.0,0,含地政士服務費6000元；,RPVOMLNLKHGGFCE97DA,103.33,5.03,0.0,有,
三民區,房地(土地+建物)+車位,建興路361~390號,7.73,都市：其他:第四種商業區,,,1060525,土地1建物1車位1,二十四層,二十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091102,117.89,2,2,2,有,有,7300000,56008,坡道平面,13.44,1450000,,RPOPMLSKKHGGFDE87DA,56.45,11.47,0.0,有,
三民區,房地(土地+建物),鼎中路3巷1~30號,30.35,都市：其他:第三種住宅區。,,,1100126,土地3建物1車位0,四層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0600201,44.05,2,1,1,有,無,1500000,34052,,0.0,0,,RPPQMLSKKHGGFDE08DA,44.05,0.0,0.0,無,
三民區,房地(土地+建物)+車位,建興路365巷1~30號,6.23,都市：其他:第四種商業區,,,1090608,土地1建物1車位1,十六層,二十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091102,94.83,2,2,1,有,有,5800000,53446,坡道平面,13.44,1450000,,RPVOMLSKKHGGFDE48DA,48.74,4.18,0.0,有,
三民區,房地(土地+建物),建興路365巷1~30號,4.54,都市：其他:第四種商業區,,,1051117,土地1建物1車位0,八層,二十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091102,69.72,1,2,1,有,有,3800000,54504,,0.0,0,,RPQOMLSKKHGGFDE97DA,41.62,3.66,0.0,有,
三民區,房地(土地+建物),建興路331~360號,5.55,都市：其他:第四種商業區,,,1060915,土地1建物1車位0,二十五層,二十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091102,84.95,1,2,1,有,有,5180000,60977,,0.0,0,,RPROMLSKKHGGFDE08DA,39.55,15.71,0.0,有,
三民區,房地(土地+建物)+車位,順昌街31~60號,6.6,都市：其他:第五種商業區,,,1100105,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090813,109.87,3,2,2,有,有,7350000,66897,坡道平面,29.26,0,,RPUOMLMLKHGGFDE87DA,46.85,7.21,0.0,有,02522
三民區,土地,澄東段61~90地號,235.73,都市：其他:第三種住宅區。,,,1100106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,51340000,217792,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVOMLMLKHGGFDE97DA,0.0,0.0,0.0,無,02523
三民區,土地,澄東段61~90地號,157.15,都市：其他:第三種住宅區。,,,1100106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,34230000,217817,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWOMLMLKHGGFDE08DA,0.0,0.0,0.0,無,02523
