鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新化區,房地(土地+建物)+車位,永新路1~30號,43.84,,特定專用區,甲種建築用地,1091104,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860825,139.82,3,2,2,有,有,4600000,32899,坡道平面,0.0,0,,RPWNMLTJJIPFFHD96DA,79.57,0.0,12.44,有,
新化區,土地,知母義段1~30地號,1537.27,,一般農業區,農牧用地,1090731,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,1952,,0.0,0,兄妹關係親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPRNMLTKJIPFFHD56DA,0.0,0.0,0.0,無,
新市區,土地,大洲段271~300地號,191.0,,鄉村區,乙種建築用地,1091105,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5300000,27749,,0.0,0,,RPPNMLLJKIPFFHD18DA,0.0,0.0,0.0,無,
善化區,房地(土地+建物)+車位,益民寮1~30號,29.89,都市：其他:住宅區,,,1090919,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090114,135.98000000000002,3,2,2,有,有,6400000,46688,坡道平面,22.46,1100000,,RPSRMLMJKIPFFHD98DA,70.75,0.0,5.9,有,
善化區,房地(土地+建物)+車位,益民寮1~30號,29.18,都市：其他:住宅區,,,1081014,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090114,135.26,3,2,2,有,有,6260000,46084,坡道平面,21.12,1000000,,RPXRMLMJKIPFFHD86DA,69.76,0.0,7.18,有,
善化區,房地(土地+建物)+車位,益民寮1~30號,29.71,都市：其他:住宅區,,,1091003,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090114,145.57,3,2,2,有,有,7730000,56420,一樓平面,29.83,1200000,,RPOTMLMJKIPFFHD78DA,69.67,0.0,7.19,有,
善化區,房地(土地+建物)+車位,益民寮1~30號,30.07,都市：其他:住宅區,,,1090930,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090114,137.56,3,2,2,有,有,8700000,66464,坡道平面,22.46,1050000,,RPWSMLMJKIPFFHD86DA,70.69,0.0,5.87,有,
安定區,土地,新庄段361~390地號,238.05,,鄉村區,乙種建築用地,1091202,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8500000,35707,,0.0,0,,RPUTMLMJKIPFFHD76DA,0.0,0.0,0.0,無,
善化區,土地,南小新段541~570地號,1.42,都市：其他:住宅區,,,1091203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,60000,42254,,0.0,0,,RPROMLNJKIPFFHD68DA,0.0,0.0,0.0,無,
安定區,土地,安定段2341~2370地號,1800.0,都市：其他:農業區,,,1091022,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,26200000,14556,,0.0,0,,RPSOMLNJKIPFFHD78DA,0.0,0.0,0.0,無,
新市區,房地(土地+建物)+車位,永華二街1~30號,61.32,,特定專用區,甲種建築用地,1091114,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860825,182.1,4,2,2,有,有,5700000,31301,坡道平面,0.0,0,,RPPNNLNJKIPFFHD48DA,112.99,0.0,13.62,有,
善化區,房地(土地+建物),仁愛路1~30號,65.57,都市：其他:住宅區,,,1091105,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0680524,102.4,3,2,2,有,無,5250000,51270,,0.0,0,,RPXNMLOJKIPFFHD66DA,102.4,0.0,0.0,無,
善化區,房地(土地+建物),蓮潭北一街91~120號,154.55,都市：其他:生活服務區(第二種住宅區),,,1091025,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1030507,224.71,5,2,4,有,無,18660000,83040,,0.0,0,,RPXOMLOJKIPFFHD76DA,214.29,0.0,10.42,無,
新市區,房地(土地+建物),豐榮31~60號,83.5,,鄉村區,乙種建築用地,1091017,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040715,173.96,4,2,4,有,有,9900000,56910,,0.0,0,,RPSOMLRJKIPFFHD56DA,165.08,0.0,8.67,無,
善化區,房地(土地+建物),裕民街151~180號,102.95,都市：其他:住宅區,,,1091018,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1030103,221.34,4,2,5,有,無,13000000,58733,,0.0,0,其他增建；,RPUNMLSJKIPFFHD76DA,212.77,0.0,8.57,無,
善化區,土地,曾文段1081~1110地號,2069.25,,特定專用區,農牧用地,1091105,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3428900,1657,,0.0,0,,RPTOMLSJKIPFFHD76DA,0.0,0.0,0.0,無,0013
安定區,房地(土地+建物),許中營1~30號,39.41,,鄉村區,乙種建築用地,1091113,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0950517,90.88,5,2,3,有,無,2790000,30700,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLTJKIPFFHD98DA,69.98,0.0,20.9,無,
新化區,土地,中興段781~810地號,1556.68,,森林區,農牧用地,1091114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6600000,4240,,0.0,0,未登記建物；,RPWOMLTJKIPFFHD17DA,0.0,0.0,0.0,無,
安定區,土地,蘇厝段1201~1230地號,3150.0,都市：其他:農業區(供申請變更開發為產業支援區),,,1090916,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,50400000,16000,,0.0,0,預售屋、或土地及建物分次登記案件；,RPTNMLKKKIPFFHD58DA,0.0,0.0,0.0,無,
善化區,土地,成功段631~660地號,261.81,都市：其他:住宅區,,,1090905,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9318766,35594,,0.0,0,包含公共設施保留地用地；,RPTPMLTJKIPFFHD96DA,0.0,0.0,0.0,無,0014
善化區,土地,南小新段31~60地號,352.85,都市：其他:計畫道路用地,,,1090913,土地5建物0車位0,,,其他,,,,0.0,3,2,2,有,無,10000000,28341,,0.0,0,未登記建物；,RPOOMLKKKIPFFHD18DA,0.0,0.0,0.0,無,
新市區,房地(土地+建物)+車位,富中街241~270號,18.71,都市：其他:住宅區,,,1090729,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060327,118.78,4,4,4,有,有,5720000,48156,坡道平面,0.0,0,,RPPNMLLKKIPFFHD28DA,52.34,0.0,6.57,有,
歸仁區,房地(土地+建物),辜厝里中正南路一段391~420號,97.0,都市：其他:住宅區,,,1091123,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0680825,104.97,6,2,3,有,無,10000000,95265,,0.0,0,,RPSPMLQLJIPFFID76DA,104.97,0.0,0.0,無,
