鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北區,建物,臺南市北區忠義路三段1~30號,0.0,商,,,1091211,土地0建物0車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850905,38.089999999999996,1,1,1,有,有,無,11500,302,,0.0,0,,RPWNMLOKKIPFFAD68CC
北區,建物,臺南市北區開元路511~540號,0.0,住,,,1091126,土地0建物1車位0,十六層,24,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1041105,103.42,2,1,1,有,有,有,15000,145,,0.0,0,,RPOOMLOKKIPFFAD97CC
北區,建物,臺南市北區實踐街71巷91~120號,0.0,住,,,1091213,土地0建物1車位0,全,1,透天厝,住家用,加強磚造,0641218,84.54,3,2,2,有,無,無,14500,172,,0.0,0,,RPVOMLOKKIPFFAD68CC
安平區,建物,臺南市安平區郡平路361~390號,0.0,商,,,1091210,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820724,88.69,3,2,2,有,有,有,18000,203,,0.0,0,,RPPPMLOKKIPFFAD18CC
中西區,房地(土地+建物),臺南市中西區西和里和善街61~90號,107.3,住,,,1091214,土地1建物1車位0,全,3,透天厝,住家用,加強磚造,0611017,274.2,0,0,0,無,無,無,36000,131,,0.0,0,,RPTOMLPKKIPFFAD58CC
安平區,房地(土地+建物)+車位,臺南市安平區平豐路121~150號,25.21,住,,,1091211,土地1建物1車位1,十四層,28,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050604,203.14999999999998,3,1,3,有,有,有,45000,222,坡道平面,36.02,0,,RPWPMLPKKIPFFAD98CC
永康區,房地(土地+建物),臺南市永康區永大路二段1526巷2弄1~30號,4.3,住,,,1091215,土地1建物1車位0,五層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840511,40.09,1,0,1,有,有,有,7600,190,,0.0,0,,RPSNMLPKKIPFFKD76CC
永康區,建物,臺南市永康區大武街18巷1~30號,0.0,住,,,1091202,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0781009,225.33,4,2,3,有,無,有,22000,98,,0.0,0,,RPTOMLPKKIPFFKD96CC
下營區,房地(土地+建物),臺南市下營區大埤里31~60號,1084.0,,特定農業區,農牧用地,1091215,土地1建物1車位0,一層,1,農舍,見其他登記事項,見其他登記事項,0780406,329.51,0,0,0,無,無,無,35000,,,0.0,0,,RPTNMLPKKIPFFFD98CC
安南區,建物,臺南市安南區長和路一段541~570號,0.0,商,,,1091214,土地0建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,1011205,232.06,4,1,4,有,無,有,35000,151,,0.0,0,,RPOOMLPKKIPFFBD18CC
歸仁區,建物,臺南市歸仁區仁愛南街121~150號,0.0,住,,,1091201,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,1000421,213.64,5,2,4,有,無,有,30000,140,,0.0,0,1.合約書無填具土地租賃面積2.由所有權人提供出租資訊,RPOOMLPKKIPFFID88CC
