鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮康莊路4531~60號,15.12,住,,,1100121,土地1建物1車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0841103,53.25,1,1,1,有,無,有,11000,207,,0.0,0,,RPPOMLMLJHGGFAG27CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮復興路三段135巷36弄31~60號,105.85,,特定農業區,甲種建築用地,1100123,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0850313,205.06,5,3,3,有,無,有,16000,78,,0.0,0,,RPUNMLPLJHGGFAG97CC
蘇澳鎮,建物,宜蘭縣蘇澳鎮馬賽路397巷69弄1~30號,0.0,住,,,1100118,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0850110,180.95,3,2,2,有,無,無,13500,75,,0.0,0,,RPPOMLPLJHGGFAG57CC
蘇澳鎮,建物,宜蘭縣蘇澳鎮頂興路91~120號,0.0,,工業區,丁種建築用地,1100120,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,1030303,166.48,4,1,3,有,無,有,13000,78,,0.0,0,,RPQOMLPLJHGGFAG67CC
宜蘭市,建物,宜蘭縣宜蘭市文昌路196巷1弄1~30號,0.0,住,,,1100125,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0800522,95.95,3,1,1,有,無,有,13500,141,,0.0,0,,RPXNMLQLJHGGFBG48CC
員山鄉,建物,宜蘭縣員山鄉金山西路270巷6弄1~30號,0.0,住,,,1100120,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830112,90.41,3,2,2,有,無,有,12300,136,,0.0,0,,RPPOMLQLJHGGFBG77CC
頭城鎮,土地,頂埔段391~420地號,190.51,,鄉村區,乙種建築用地,1100114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,15000,79,,0.0,0,含建物未辦保存登記,RPSOMLQLJHGGFBG08CC
宜蘭市,建物,宜蘭縣宜蘭市力新路31~60號,0.0,商,,,1100119,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820823,106.33,2,1,2,有,無,有,12300,116,,0.0,0,,RPPNMLTLJHGGFBG97CC
宜蘭市,建物,宜蘭縣宜蘭市宜中路61~90號,0.0,住,,,1100126,土地0建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810528,227.79,4,2,2,有,無,有,23000,101,一樓平面,0.0,0,,RPQNMLTLJHGGFBG08CC
礁溪鄉,建物,宜蘭縣礁溪鄉德陽路211~240號,0.0,住,,,1100121,土地0建物1車位0,二層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0720119,30.42,1,0,1,有,無,有,5500,181,,0.0,0,,RPRNMLTLJHGGFBG18CC
