鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
三民區,建物,高雄市三民區汾陽路1~30號,0.0,住,,,1100127,土地0建物1車位0,見其他登記事項,9,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0830721,141.68,2,2,2,有,有,有,12500,88,,0.0,0,住宅及都市更新中心社會住宅包租代管計畫,RPXPMLSJKHGGFDE78CC
三民區,建物,高雄市三民區龍江街47巷52弄1~30號,0.0,商,,,1100127,土地0建物1車位0,全,2,透天厝,,加強磚造,0640927,69.11,3,2,2,有,無,有,14000,203,,0.0,0,住宅及都市更新中心社會住宅包租代管計畫,RPQQMLSJKHGGFDE18CC
三民區,建物,高雄市三民區建國三路241~270號,0.0,商,,,1100129,土地0建物1車位0,十層,15,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1081106,78.19,3,1,1,有,有,有,19900,255,,0.0,0,,RPUQMLSJKHGGFDE58CC
小港區,土地,店鎮段一小段1561~1590地號,148.0,商,,,1100206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,10000,68,,0.0,0,含增建或未登記建物。；地上物鐵皮屋未保存登記.,RPQNMLSJKHGGFCE77CC
前鎮區,房地(土地+建物)+車位,高雄市前鎮區廣西路181~210號,18.25,住,,,1100129,土地1建物1車位1,十三層,16,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1070620,145.0,3,2,2,有,有,有,34000,234,坡道平面,24.85,0,,RPSNMLSJKHGGFCE97CC
前鎮區,房地(土地+建物),高雄市前鎮區南天街121~150號,9.2,商,,,1100206,土地1建物1車位0,六層,28,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1060904,181.32,3,2,2,有,有,有,42000,232,,0.0,0,,RPPOMLSJKHGGFCE77CC
大寮區,土地,翁公園段3151~3180地號,165.3,農,,,1100114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,15000,91,,0.0,0,含增建或未登記建物。；承租地坪約50坪，承租未保存登記建物約35坪,RPPPMLSJKHGGFLE78CC
岡山區,土地,陽明段961~990地號,198.4,其他,,,1100205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,29000,146,,0.0,0,含增建或未登記建物。；承租地坪約60坪，承租未保存登記建物約47坪,RPVOMLSJKHGGFFE68CC
彌陀區,土地,彌港段151~180地號,496.0,,一般農業區,農牧用地,1100206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,32000,65,,0.0,0,含增建或未登記建物。；承租地坪約150坪，承租未保存登記建物約110坪,RPWOMLSJKHGGFFE78CC
鳳山區,建物,高雄市鳳山區文衡路271~300號,0.0,住,,,1100122,土地0建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811130,129.0,3,2,2,有,有,有,13000,101,,0.0,0,,RPOOMLSJKHGGFGE08CC
鳳山區,建物,高雄市鳳山區武松街151~180號,0.0,住,,,1100125,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820318,112.24000000000001,3,2,2,有,有,有,10000,89,,0.0,0,,RPPOMLSJKHGGFGE18CC
鳳山區,建物,高雄市鳳山區北昌三街1~30號,0.0,住,,,1100127,土地0建物1車位0,八層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010409,72.55000000000001,2,1,1,有,有,有,13500,186,,0.0,0,,RPSOMLSJKHGGFGE48CC
鳳山區,建物,高雄市鳳山區八德路121~150號,0.0,住,,,1100126,土地0建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830923,149.04000000000002,3,1,2,有,有,有,13500,91,,0.0,0,,RPTOMLSJKHGGFGE58CC
鳳山區,建物,高雄市鳳山區建國路一段325巷1~30號,0.0,住,,,1100125,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730305,100.26,3,2,2,有,無,有,13000,130,,0.0,0,,RPWOMLSJKHGGFGE88CC
鳳山區,建物,高雄市鳳山區勝利路91~120號,0.0,住,,,1100125,土地0建物1車位0,五層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010605,180.2,3,2,2,有,有,有,12000,67,,0.0,0,,RPXOMLSJKHGGFGE98CC
鳳山區,房地(土地+建物),高雄市鳳山區瑞和街20巷1~30號,60.0,住,,,1100128,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0601201,70.56,2,1,2,有,無,有,20000,283,,0.0,0,,RPPPMLSJKHGGFGE28CC
左營區,房地(土地+建物),高雄市左營區華夏路1201~1230號,23.21,商,,,1100130,土地1建物1車位0,見其它登記事項,23,店面(店鋪),見其它登記事項,見其它登記事項,1090611,360.03000000000003,0,0,0,無,有,有,140000,389,,0.0,0,,RPSOMLSJKHGGFEE28CC
左營區,建物,高雄市左營區大中二路331~360號,0.0,住,,,1100128,土地0建物1車位0,六層,23,住宅大樓(11層含以上有電梯),住家用,見使用執照,0881020,138.41,4,1,2,有,有,有,18800,136,,0.0,0,,RPWQMLSJKHGGFEE88CC
楠梓區,建物,高雄市楠梓區瑞仁路1~30號,0.0,住,,,1100127,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701218,67.95,3,2,1,有,無,有,11000,162,,0.0,0,,RPPRMLSJKHGGFEE28CC
左營區,土地,菜公段二小段391~420地號,4457.0,工,,,1100111,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,943768,212,,0.0,0,,RPURMLSJKHGGFEE78CC
左營區,建物,高雄市左營區大中二路751~780號,0.0,住,,,1100203,土地0建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000628,103.0,2,1,1,有,有,有,15000,144,坡道平面,12.98,2000,內含1個機車車位。,RPSOMLTJKHGGFEE38CC
左營區,建物,高雄市左營區重清路151~180號,0.0,住,,,1100208,土地0建物0車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820401,32.41,1,0,1,有,無,有,5500,170,,0.0,0,,RPSQMLTJKHGGFEE58CC
左營區,房地(土地+建物)+車位,高雄市左營區辛亥路241~270號,14.24,其他,,,1100127,土地1建物1車位1,二十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011105,218.28,4,2,2,有,無,有,37000,170,坡道平面,25.36,0,,RPSRMLTJKHGGFEE68CC
左營區,房地(土地+建物),高雄市左營區榮總路241~270號,165.62,商,,,1100209,土地1建物1車位0,見其它登記事項,5,店面(店鋪),住商用,鋼筋混凝土造,0970701,90.44,0,0,0,無,無,有,60000,663,,0.0,0,,RPURMLTJKHGGFEE88CC
左營區,房地(土地+建物),高雄市左營區新庄仔路271~300號,78.0,住,,,1100128,土地1建物1車位0,全,4,透天厝,,鋼筋混凝土造,0700905,245.82,5,2,4,有,無,無,40000,163,,0.0,0,,RPVRMLTJKHGGFEE98CC
左營區,房地(土地+建物)+車位,高雄市左營區正心街31~60號,4.99,商,,,1100111,土地1建物1車位1,二十八層,29,住宅大樓(11層含以上有電梯),住家用,見使用執照,0880803,124.0,3,2,2,有,有,有,18500,149,坡道機械,8.44,0,,RPOSMLTJKHGGFEE38CC
左營區,房地(土地+建物)+車位,高雄市左營區辛亥路241~270號,14.36,其他,,,1100114,土地1建物1車位1,十六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011105,216.78,3,2,2,有,有,有,45000,208,坡道平面,25.37,0,,RPPSMLTJKHGGFEE48CC
左營區,房地(土地+建物),高雄市左營區文康路1~30號,14.38,住,,,1100117,土地1建物1車位0,三層,13,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090110,99.59,2,1,1,有,有,有,25000,251,,0.0,0,,RPQSMLTJKHGGFEE58CC
鳳山區,房地(土地+建物),高雄市鳳山區鳳甲一街91~120號,0.0,住,,,1100208,土地1建物1車位0,八層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031013,54.56,2,2,1,有,有,有,16000,293,,0.0,0,,RPTNMLTJKHGGFGE58CC
鳳山區,建物,高雄市鳳山區三誠路61~90號,0.0,住,,,1100115,土地0建物1車位0,六層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050530,100.72,2,1,1,有,有,有,12000,119,,0.0,0,,RPVNMLTJKHGGFGE78CC
鳳山區,房地(土地+建物),高雄市鳳山區和成路481~510號,126.52,住,,,1100205,土地1建物1車位0,全,4,透天厝,住家用,見其他登記事項,1090306,85.41,0,0,0,無,無,有,18000,211,,0.0,0,,RPOOMLTJKHGGFGE18CC
鳳山區,房地(土地+建物),高雄市鳳山區鳳甲一街121~150號,36.36,住,,,1100116,土地1建物1車位0,見其他登記事項,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031013,241.98000000000002,0,0,0,無,有,無,30000,124,,0.0,0,,RPROMLTJKHGGFGE48CC
燕巢區,建物,高雄市燕巢區橫山路91~120號,0.0,,特定農業區,甲種建築用地,1100208,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070820,30.26,1,0,1,有,無,有,5800,192,,0.0,0,面馬路採光好,RPSNMLTJKHGGFFE38CC
燕巢區,建物,高雄市燕巢區橫山路91~120號,0.0,,特定農業區,甲種建築用地,1100205,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1070820,29.62,1,0,1,有,無,有,5500,186,,0.0,0,,RPTNMLTJKHGGFFE48CC
燕巢區,建物,高雄市燕巢區橫山路91~120號,0.0,,特定農業區,甲種建築用地,1100205,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1070820,29.62,1,0,1,有,無,有,5300,179,,0.0,0,房客傢俱自己買，房東給優惠,RPUNMLTJKHGGFFE58CC
燕巢區,建物,高雄市燕巢區橫山路91~120號,0.0,,特定農業區,甲種建築用地,1100205,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1070820,29.62,1,0,1,有,無,有,5800,196,,0.0,0,面馬路採光好,RPWNMLTJKHGGFFE78CC
大社區,建物,高雄市大社區中華路89巷31~60號,0.0,住,,,1100208,土地0建物0車位0,全,4,透天厝,見其他登記事項,見其他登記事項,1070606,33.12,1,0,1,有,無,有,5500,166,,0.0,0,本案為共隔19間分租套房，本次僅出租此間為33.12平方公尺,RPQNMLTJKHGGFIE48CC
大社區,建物,高雄市大社區中華路89巷31~60號,0.0,住,,,1100208,土地0建物0車位0,全,4,透天厝,見其他登記事項,見其他登記事項,1070606,25.63,1,0,1,有,無,有,5500,215,,0.0,0,本案為共隔19間分租套房，本次僅出租此間為25.63平方公尺,RPSNMLTJKHGGFIE68CC
仁武區,房地(土地+建物)+車位,高雄市仁武區京吉三路211~240號,13.19,商,,,1100118,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1081223,102.55,2,1,1,有,有,有,25000,244,坡道平面,35.79,0,,RPWNMLTJKHGGFIE09CC
