鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中山區,建物,臺北市中山區松江路297巷1~30號,0.0,住,,,1091114,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0610114,96.61,3,2,2,有,無,有,34000,352,,0.0,0,,RPWNMLMKKIPFFCA38CC
中山區,建物,臺北市中山區長安東路二段91~120號,0.0,商,,,1091120,土地0建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970222,41.83,0,0,0,無,有,有,25500,610,,0.0,0,,RPXNMLMKKIPFFCA48CC
中山區,建物,臺北市中山區雙城街23巷1~30號,0.0,商,,,1091110,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0781214,46.3,1,1,1,有,無,有,25000,540,,0.0,0,,RPOOMLMKKIPFFCA67CC
中山區,建物,臺北市中山區中山北路一段53巷1~30號,0.0,商,,,1091212,土地0建物1車位0,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971030,159.94,2,2,2,有,有,有,55000,344,,0.0,0,,RPPOMLMKKIPFFCA77CC
中山區,建物,臺北市中山區新生北路一段91~120號,0.0,商,,,1091125,土地0建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0671002,23.93,0,0,0,無,無,有,12000,501,,0.0,0,,RPQOMLMKKIPFFCA87CC
中山區,建物,臺北市中山區新生北路二段68巷1~30號,0.0,商,,,1091212,土地0建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050602,118.62,2,1,2,有,有,有,51000,430,坡道平面,0.0,0,,RPROMLMKKIPFFCA97CC
中山區,建物,臺北市中山區新生北路一段91~120號,0.0,商,,,1091121,土地0建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0671002,34.95,0,0,0,無,無,有,16500,472,,0.0,0,,RPSOMLMKKIPFFCA08CC
中山區,建物,臺北市中山區德惠街1~30號,0.0,商,,,1091122,土地0建物1車位0,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710419,38.24,0,0,0,無,無,有,16500,431,,0.0,0,,RPTOMLMKKIPFFCA18CC
中山區,建物,臺北市中山區林森北路145巷31~60號,0.0,商,,,1091121,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0560630,72.22,3,2,1,有,無,有,20000,277,,0.0,0,,RPUOMLMKKIPFFCA28CC
中山區,建物,臺北市中山區合江街55巷1~30號,0.0,住,,,1091125,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980414,80.2,2,1,1,有,有,有,35000,436,,0.0,0,,RPVOMLMKKIPFFCA38CC
中山區,建物,臺北市中山區新生北路三段56巷1~30號,0.0,商,,,1091117,土地0建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981021,75.78,1,1,1,有,有,有,47200,623,,0.0,0,,RPWOMLMKKIPFFCA48CC
