鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
花蓮市,房地(土地+建物),花蓮縣花蓮市東興一街91~120號,74.0,住,,,1090417,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0680102,101.82,3,2,3,有,無,8470000,83186,,0.0,0,,RPQNMLSKOHPFFAU67CA,101.82,0.0,0.0,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉北安街181~210號,69.0,農,,,1090525,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090210,140.23,4,2,3,有,無,9150000,65250,,0.0,0,,RPRNMLSKOHPFFAU77CA,126.33,0.0,13.9,
花蓮市,車位,花蓮縣花蓮市德安六街61~90號,0.0,,,,1090601,土地0建物0車位1,,,其他,,,,34.96,0,0,0,有,有,300000,,坡道機械,34.95,300000,,RPUNMLTKOHPFFAU18CA,0.0,0.0,0.0,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國民八街1~30號,11.28,商,,,1090525,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080808,101.86,1,2,1,有,有,7550000,88483,坡道平面,34.05,1550000,,RPXNMLTKOHPFFAU48CA,39.49,0.0,4.76,
光復鄉,土地,西富段781~810地號,3439.64,,特定農業區,農牧用地,1090504,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5202450,1512,,0.0,0,,RPRNMLQKOHPFFBU67CA,0.0,0.0,0.0,
花蓮市,房地(土地+建物),花蓮縣花蓮市福建街391~420號,9.3,商,,,1090312,土地1建物1車位0,七層,七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1090102,54.379999999999995,1,1,1,有,有,3900000,71718,,0.0,0,,RPQNMLNJPHPFFAU17CA,30.66,0.0,3.09,
花蓮市,房地(土地+建物),花蓮縣花蓮市中正路184巷1~30號,120.0,住,,,1090414,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0810714,163.46,3,3,2,有,無,8800000,53836,,0.0,0,含增建或未登記建物。;,RPWOMLMLOHPFFAU97DA,155.51,0.0,7.95,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉民治路329巷1~30號,98.48,住,,,1090420,土地1建物1車位0,全,二層,透天厝,住工用,鋼筋混凝土造,0681019,149.55,3,2,2,有,無,6000000,40120,,0.0,0,,RPROMLQKOHPFFAU77DA,149.55,0.0,0.0,
玉里鎮,房地(土地+建物),花蓮縣玉里鎮城東三街31~60號,147.0,住,,,1080516,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1090320,283.25,5,2,5,有,無,11200000,39541,,0.0,0,,RPUNMLRKOHPFFCU18CA,241.41,0.0,41.84,
花蓮市,土地,富國段181~210地號,29.95,住,,,1090521,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1030214,34398,,0.0,0,0206地震災害專案,RPQNMLQKOHPFFAU67EA,0.0,0.0,0.0,
