鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
南投市,房地(土地+建物),中山街31~60號,6.76,其他,,,1090614,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850410,36.05,1,1,1,有,有,1080000,29958,,0.0,0,,RPQOMLLJPHPFFAM98DA,19.31,0.8,3.35,有
埔里鎮,房地(土地+建物),南投縣埔里鎮永興路31~60號,260.0,,特定農業區,甲種建築用地,1090528,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060221,207.51,0,0,3,有,無,12500000,60238,,0.0,0,,RPQOMLOLPHPFFCM96CA,196.04,0.0,11.47,
埔里鎮,土地,牛尾段481~510地號,1021.38,,特定農業區,農牧用地,1090521,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4300000,4210,,0.0,0,,RPVOMLTJPHPFFCM77CA,0.0,0.0,0.0,
魚池鄉,土地,貓,3482.0,,特定農業區,農牧用地,1090529,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10821484,3108,,0.0,0,土地因鑑界複丈數化整合結果實際總面積減少75平方公尺雙方改訂總價金額較原契約減少238218元正,RPROMLSJPHPFFCM27CA,0.0,0.0,0.0,
魚池鄉,土地,貓,2352.0,,特定農業區,農牧用地,1090529,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7470540,3176,,0.0,0,,RPSOMLSJPHPFFCM37CA,0.0,0.0,0.0,
國姓鄉,土地,北山坑段151~180地號,1598.0,,山坡地保育區,農牧用地,1090503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,939,,0.0,0,,RPTOMLRJPHPFFCM37CA,0.0,0.0,0.0,
國姓鄉,土地,北山坑段151~180地號,188.0,,山坡地保育區,丙種建築用地,1090503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,4787,,0.0,0,,RPUOMLRJPHPFFCM47CA,0.0,0.0,0.0,
魚池鄉,土地,香茶段691~720地號,2153.48,,山坡地保育區,農牧用地,1090614,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,1022,,0.0,0,,RPSNMLQJPHPFFCM07CA,0.0,0.0,0.0,
埔里鎮,土地,忠實段1~30地號,345.82,其他,,,1090619,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2290068,6622,,0.0,0,,RPTNMLQJPHPFFCM17CA,0.0,0.0,0.0,
草屯鎮,土地,府西段601~630地號,3.46,其他,,,1090520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,84517,24427,,0.0,0,協議價購,RPQPMLSJPHPFFBM27DA,0.0,0.0,0.0,
草屯鎮,土地,府西段601~630地號,6.0,其他,,,1090520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,146632,24439,,0.0,0,協議價購,RPSPMLSJPHPFFBM47DA,0.0,0.0,0.0,
草屯鎮,土地,府西段601~630地號,3.46,其他,,,1090520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,84517,24427,,0.0,0,協議價購,RPTPMLSJPHPFFBM57DA,0.0,0.0,0.0,
草屯鎮,土地,府西段601~630地號,3.96,其他,,,1090520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,96927,24477,,0.0,0,協議價購,RPUPMLSJPHPFFBM67DA,0.0,0.0,0.0,
草屯鎮,土地,府西段601~630地號,3.96,其他,,,1090520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,96927,24477,,0.0,0,協議價購,RPVPMLSJPHPFFBM77DA,0.0,0.0,0.0,
草屯鎮,土地,府西段601~630地號,3.96,其他,,,1090520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,96927,24477,,0.0,0,協議價購,RPWPMLSJPHPFFBM87DA,0.0,0.0,0.0,
草屯鎮,土地,府西段601~630地號,7.93,其他,,,1090520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,193854,24446,,0.0,0,協議價購,RPXPMLSJPHPFFBM97DA,0.0,0.0,0.0,
草屯鎮,土地,府西段601~630地號,3.26,其他,,,1090520,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,79848,24493,,0.0,0,協議價購,RPUOMLSJPHPFFBM57DA,0.0,0.0,0.0,
草屯鎮,土地,新雙冬段781~810地號,482.61,,山坡地保育區,丙種建築用地,1090511,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5578560,11559,,0.0,0,,RPQNMLLJPHPFFBM98DA,0.0,0.0,0.0,無
草屯鎮,土地,府西段601~630地號,1.32,其他,,,1090520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,32309,24477,,0.0,0,協議價購,RPPQMLSJPHPFFBM27DA,0.0,0.0,0.0,
草屯鎮,土地,府西段601~630地號,1.32,其他,,,1090520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,32309,24477,,0.0,0,協議價購,RPQQMLSJPHPFFBM37DA,0.0,0.0,0.0,
草屯鎮,土地,府西段601~630地號,1.32,其他,,,1090520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,32309,24477,,0.0,0,協議價購,RPRQMLSJPHPFFBM47DA,0.0,0.0,0.0,
竹山鎮,房地(土地+建物),鯉南路41之1巷1~30號,112.56,,,,1090515,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1081119,200.04,5,3,6,有,無,7880000,39392,,0.0,0,,RPPNMLLJPHPFFDM09DA,188.54,0.0,11.5,無
草屯鎮,房地(土地+建物)+車位,明賢街91~120號,25.99,其他,,,1090520,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070607,144.32,2,2,2,有,有,8280000,57373,坡道平面,0.0,0,,RPXNMLLJPHPFFBM17EA,0.0,0.0,0.0,有
草屯鎮,土地,新永安段571~600地號,1921.58,其他,,,1090417,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,37782712,19662,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPOOMLLJPHPFFBM98EA,0.0,0.0,0.0,無
鹿谷鄉,土地,坪子頂段361~390地號,22.91,,山坡地保育區,丙種建築用地,1090610,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13000,567,,0.0,0,,RPVNMLQJPHPFFDM67EA,0.0,0.0,0.0,無
鹿谷鄉,建物,愛鄉路61~90號,0.0,,,,1090624,土地0建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0931008,83.96,0,0,0,無,無,300000,3573,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPVNMLNJPHPFFDM37EA,83.96,0.0,0.0,無
集集鎮,土地,山腳段91~120地號,850.01,其他,,,1090622,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,1412,,0.0,0,,RPTNMLNJPHPFFEM27EA,0.0,0.0,0.0,無
南投市,房地(土地+建物),南營路376巷36弄1~30號,173.14,,鄉村區,乙種建築用地,1090515,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0970410,213.37,4,2,3,有,無,8700000,40774,,0.0,0,其他增建;,RPROMLMJPHPFFAM66EA,202.21,0.0,11.16,無
草屯鎮,土地,新御史段661~690地號,186.59,其他,,,1090406,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7500000,40195,,0.0,0,,RPVOMLNJPHPFFBM17DA,0.0,0.0,0.0,無
埔里鎮,房地(土地+建物),虎耳二街91~120號,113.95,,鄉村區,乙種建築用地,1090610,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1060112,230.73,4,2,5,有,無,12200000,52876,,0.0,0,,RPQNMLMJPHPFFCM56DA,199.22,9.42,22.09,無
