鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
新竹市,房地(土地+建物),新竹市新竹市明湖路175巷31~60號,74.2,住,,,1070707,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1090114,239.65,4,2,3,有,無,16900000,70520,,0.0,0,,RPWPMLKLNHPFFAO07CA,210.48,7.5,21.67,
新竹市,房地(土地+建物),新竹市新竹市明湖路175巷31~60號,74.2,住,,,1071018,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1090114,239.65,4,2,3,有,無,17200000,71771,,0.0,0,,RPXPMLKLNHPFFAO17CA,210.48,7.5,21.67,
新竹市,房地(土地+建物),新竹市新竹市武陵路228巷91~120號,84.15,住,,,1090225,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0950116,283.33000000000004,5,2,3,有,有,17000000,60001,,0.0,0,,RPWOMLKLNHPFFAO96CA,241.42,2.04,16.46,
新竹市,房地(土地+建物)+車位,新竹市新竹市慈濟路211~240號,30.29,住,,,1090403,土地1建物1車位2,十七層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020915,263.02,4,2,2,有,有,21460000,81591,坡道平面,46.3,0,,RPVNMLSKNHPFFAO47CA,128.11,5.35,15.42,
新竹市,房地(土地+建物)+車位,新竹市新竹市武陵路73巷1~30號,45.09,住,,,1090419,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0930915,169.67,3,2,2,有,有,8450000,49803,坡道平面,0.0,0,,RPVPMLSKNHPFFAO67CA,101.11,0.0,12.27,
新竹市,房地(土地+建物),新竹市新竹市浸水街191巷117弄1~30號,90.29,農,,,1090424,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0671207,76.44,4,1,3,有,無,4000000,52329,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPTNMLNKNHPFFAO76CA,76.44,0.0,0.0,
新竹市,房地(土地+建物)+車位,新竹市新竹市明湖路721~750號,14.1,其他,,,1090411,土地1建物1車位1,地下一層,四層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0940220,79.91,1,1,1,有,有,3000000,37542,坡道平面,29.45,0,,RPTOMLNKNHPFFAO86CA,32.59,0.0,0.0,
新竹市,土地,港南段241~270地號,111.89,,特定農業區,甲種建築用地,1090305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,25025,,0.0,0,含增建或未登記建物。;本買賣價金包含地上未保存建物之價格,RPTOMLOKNHPFFAO96CA,0.0,0.0,0.0,
新竹市,房地(土地+建物)+車位,新竹市新竹市民族路241~270號,34.93,住,,,1090406,土地1建物1車位1,二層,八層,辦公商業大樓,辦公室,鋼筋混凝土造,0850131,215.53,0,0,0,無,有,9800000,45469,升降機械,0.0,0,,RPVQMLPKNHPFFAO47CA,141.27,0.0,19.7,
新竹市,房地(土地+建物),新竹市新竹市長興街121~150號,77.59,其他,,,1090425,土地3建物1車位0,全,二層,透天厝,住家用,加強磚造,,138.76,3,2,2,有,無,4500000,32430,,0.0,0,,RPORMLPKNHPFFAO86CA,138.76,0.0,0.0,
新竹市,房地(土地+建物),新竹市新竹市東大路三段291巷1~30號,67.51,住,,,1090327,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1080725,219.42,4,2,5,有,有,15080000,68727,,0.0,0,有電梯,RPQNMLPKNHPFFAO66CA,198.94,0.0,20.2,
新竹市,房地(土地+建物),新竹市新竹市天府路一段91~120號,66.73,住,,,1090420,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1080725,219.42,4,2,5,有,有,13920000,63440,,0.0,0,有電梯,RPRNMLPKNHPFFAO76CA,198.94,0.0,20.2,
新竹市,房地(土地+建物),新竹市新竹市天府路一段91~120號,69.24,住,,,1090420,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1080725,228.45,4,2,5,有,有,15500000,67849,,0.0,0,有電梯,RPSNMLPKNHPFFAO86CA,206.84,0.0,21.33,
新竹市,房地(土地+建物),新竹市新竹市天府路一段91~120號,67.13,住,,,1090311,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1080725,220.58,4,2,5,有,有,14680000,66552,,0.0,0,有電梯,RPTNMLPKNHPFFAO96CA,199.94,0.0,20.36,
新竹市,房地(土地+建物)+車位,新竹市新竹市關新路19巷1~30號,19.05,其他,,,1090416,土地1建物1車位2,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0980721,206.76,4,2,2,有,有,17000000,82221,坡道平面,0.0,0,,RPTQMLPKNHPFFAO27CA,101.05,0.0,13.8,
新竹市,土地,中華段691~720地號,172.91,其他,,,1090415,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4180000,24174,,0.0,0,包含公共設施保留地之交易。,RPVNMLOKNHPFFAO07CA,0.0,0.0,0.0,
新竹市,房地(土地+建物),新竹市新竹市新源街62巷31~60號,16.47,商,,,1090411,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.07999999999998,4,2,2,有,有,8500000,58187,,0.0,0,含增建或未登記建物。;,RPWNMLOKNHPFFAO17CA,103.13,0.0,8.76,
新竹市,房地(土地+建物)+車位,新竹市新竹市明湖路1200巷31~60號,17.91,,山坡地保育區,丙種建築用地,1090410,土地5建物1車位1,六層,七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0970522,72.6,1,1,1,有,有,2700000,37190,坡道平面,0.0,0,,RPSPMLSKNHPFFAO37CA,32.46,0.68,0.12,
新竹市,房地(土地+建物),新竹市新竹市明湖路309巷31~60號,96.84,住,,,1090405,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1000822,280.71,4,2,5,有,無,15000000,53436,,0.0,0,,RPSQMLTKNHPFFAO57CA,245.14,13.55,22.02,
新竹市,房地(土地+建物),新竹市新竹市學府路61~90號,4.96,其他,,,1090415,土地3建物1車位0,二層,七層,套房(1房1廳1衛),見使用執照,鋼筋混凝土造,0800909,32.41,1,1,1,有,有,1875000,57853,,0.0,0,,RPWQMLTKNHPFFAO97CA,16.6,0.0,6.64,
新竹市,房地(土地+建物),新竹市新竹市花園新城一街31~60號,127.59,,山坡地保育區,丙種建築用地,1090402,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,,152.15,4,3,3,有,無,6150000,40421,,0.0,0,,RPXQMLTKNHPFFAO08CA,145.82,2.05,4.28,
新竹市,房地(土地+建物),新竹市新竹市光復路一段30巷1~30號,99.0,住,,,1090411,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0591231,86.38,8,2,8,有,無,9100000,105348,,0.0,0,含增建或未登記建物。;,RPROMLTKNHPFFAO27CA,86.38,0.0,0.0,
新竹市,土地,自由段331~360地號,131.62,住,,,1090425,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6931440,52663,,0.0,0,受債權債務影響或債務抵償之交易。;,RPVNMLMLNHPFFAO96CA,0.0,0.0,0.0,
新竹市,房地(土地+建物),新竹市新竹市城北街137巷11弄1~30號,8.98,住,,,1090328,土地1建物1車位0,五層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820628,39.04,1,1,1,有,無,1465000,37526,,0.0,0,,RPWOMLOJOHPFFAO27CA,26.1,0.0,5.85,
新竹市,土地,麗園段301~330地號,2732.19,,山坡地保育區,農牧用地,1090320,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11000000,4026,,0.0,0,,RPXOMLOJOHPFFAO37CA,0.0,0.0,0.0,
新竹市,房地(土地+建物),新竹市新竹市金山街151~180號,13.55,住,,,1090418,土地1建物1車位0,三層,四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0901231,36.04,1,1,1,有,有,2400000,66593,,0.0,0,含增建或未登記建物。;,RPPPMLQLNHPFFAO96CA,22.99,0.0,3.84,
新竹市,房地(土地+建物),新竹市新竹市光復路二段155巷10弄1~30號,33.2,住,,,1090426,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701006,100.41,5,0,5,有,無,5300000,52784,,0.0,0,,RPXNMLKKOHPFFAO96CA,88.25,0.0,0.0,
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路二段170巷31~60號,13.1,商,,,1070805,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090225,105.03999999999999,2,2,2,有,有,7980000,90963,其他,20.83,320000,,RPPNMLLKOHPFFAO88CA,49.09,0.0,5.1,
新竹市,房地(土地+建物),新竹市新竹市中華路二段170巷31~60號,13.1,商,,,1071203,土地1建物1車位0,二層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090225,84.39,2,2,2,有,有,8180000,96931,,0.0,0,,RPQNMLLKOHPFFAO98CA,49.15,0.0,5.2,
新竹市,房地(土地+建物),新竹市新竹市中華路二段170巷31~60號,13.1,商,,,1071115,土地1建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090225,84.2,2,2,2,有,有,7080000,84086,,0.0,0,,RPRNMLLKOHPFFAO09CA,49.09,0.0,5.1,
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路二段170巷31~60號,13.1,商,,,1071029,土地1建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090225,105.22,2,2,2,有,有,8000000,90627,其他,20.83,352000,,RPSNMLLKOHPFFAO56CA,49.15,0.0,5.2,
新竹市,房地(土地+建物),新竹市新竹市中華路二段170巷31~60號,13.1,商,,,1070807,土地1建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090225,84.2,2,2,2,有,有,6660000,79097,,0.0,0,,RPTNMLLKOHPFFAO66CA,49.09,0.0,5.1,
新竹市,房地(土地+建物),新竹市新竹市中華路二段170巷31~60號,13.1,商,,,1070805,土地1建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090225,84.39,2,2,2,有,有,6680000,79156,,0.0,0,,RPUNMLLKOHPFFAO76CA,49.15,0.0,5.2,
新竹市,房地(土地+建物),新竹市新竹市中華路二段170巷31~60號,13.1,商,,,1070827,土地1建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090225,84.2,2,2,2,有,有,7280000,86461,,0.0,0,,RPVNMLLKOHPFFAO86CA,49.09,0.0,5.1,
新竹市,房地(土地+建物),新竹市新竹市中華路二段170巷31~60號,13.1,商,,,1070824,土地1建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090225,84.39,2,2,2,有,有,6460000,76549,,0.0,0,,RPWNMLLKOHPFFAO96CA,49.15,0.0,5.2,
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路二段170巷31~60號,13.1,商,,,1070807,土地1建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090225,105.03999999999999,2,2,2,有,有,7480000,85501,其他,20.83,280000,,RPXNMLLKOHPFFAO07CA,49.09,0.0,5.1,
新竹市,房地(土地+建物),新竹市新竹市中華路二段170巷31~60號,13.1,商,,,1070810,土地1建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090225,84.39,2,2,2,有,有,7080000,83896,,0.0,0,,RPOOMLLKOHPFFAO88CA,49.15,0.0,5.2,
新竹市,房地(土地+建物)+車位,新竹市新竹市新光路61~90號,15.1,住,,,1090223,土地2建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840325,157.13,3,2,2,有,有,9000000,57277,坡道平面,0.0,0,,RPXPMLKKOHPFFAO17CA,91.4,1.74,11.84,
新竹市,房地(土地+建物),新竹市新竹市中華路二段170巷31~60號,13.1,商,,,1070805,土地1建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090225,84.2,2,2,2,有,有,7380000,87648,,0.0,0,,RPPNMLMKOHPFFAO98CA,49.09,0.0,5.1,
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路二段170巷31~60號,13.1,商,,,1070815,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090225,105.22,2,2,2,有,有,7480000,84939,其他,20.83,312000,,RPQNMLMKOHPFFAO09CA,49.15,0.0,5.2,
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路二段170巷31~60號,13.1,商,,,1070805,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090225,105.03999999999999,2,2,2,有,有,8120000,92626,其他,20.83,320000,,RPRNMLMKOHPFFAO56CA,49.09,0.0,5.1,
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路二段170巷31~60號,13.1,商,,,1070805,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090225,105.22,2,2,2,有,有,8200000,92997,其他,20.83,352000,,RPSNMLMKOHPFFAO66CA,49.15,0.0,5.2,
新竹市,房地(土地+建物),新竹市新竹市中華路二段170巷31~60號,13.1,商,,,1070926,土地1建物1車位0,九層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090225,84.2,2,2,2,有,有,7890000,93705,,0.0,0,,RPTNMLMKOHPFFAO76CA,49.09,0.0,5.1,
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路二段170巷31~60號,13.1,商,,,1070808,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090225,105.22,2,2,2,有,有,7500000,85176,其他,20.83,312000,,RPUNMLMKOHPFFAO86CA,49.15,0.0,5.2,
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路二段170巷31~60號,13.1,商,,,1070803,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090225,105.03999999999999,2,2,2,有,有,7500000,85738,其他,20.83,280000,,RPVNMLMKOHPFFAO96CA,49.09,0.0,5.1,
