鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
楊梅區,建物,桃園市楊梅區金山街368巷31~60號,0.0,住,,,1090422,土地0建物1車位1,五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060802,123.36,2,1,1,有,有,有,13000,105,坡道平面,29.75,0,,RPQOMLOKNHPFFDH09CC
楊梅區,建物,桃園市楊梅區金山街368巷1~30號,0.0,住,,,1090419,土地0建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060802,159.24,3,2,2,有,有,有,16500,104,坡道平面,31.7,0,,RPROMLOKNHPFFDH56CC
楊梅區,建物,桃園市楊梅區中山南路601~630號,0.0,住,,,1090418,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0850311,134.12,3,2,2,有,有,有,13000,97,,0.0,0,,RPSOMLOKNHPFFDH66CC
楊梅區,建物,桃園市楊梅區三陽路368巷91~120號,0.0,,一般農業區,甲種建築用地,1090418,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0960131,150.36,5,2,4,有,無,有,17000,113,,0.0,0,,RPTOMLOKNHPFFDH76CC
楊梅區,建物,桃園市楊梅區三元街151~180號,0.0,住,,,1090430,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840727,113.72,3,2,2,有,有,無,8000,70,,0.0,0,,RPWPMLOKNHPFFDH17CC
龍潭區,土地,和原段2581~2610地號,3305.48,,山坡地保育區,丙種建築用地,1090512,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,70000,21,,0.0,0,,RPWNMLOKNHPFFCH86CC
龜山區,房地(土地+建物),桃園市龜山區文青二路61~90號,14.44,住,,,1090424,土地1建物1車位0,一層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040709,99.3,1,0,1,有,有,無,23500,237,,0.0,0,,RPXNMLOKNHPFFHH47CC
桃園區,建物,桃園市桃園區江南一街1~30號,0.0,住,,,1090417,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701124,90.18,3,2,1,有,無,有,12000,133,,0.0,0,社會住宅,RPQNMLOKNHPFFAH68CC
桃園區,建物,桃園市桃園區大有路481~510號,0.0,住,,,1090430,土地0建物1車位0,十一層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820811,76.73,1,1,1,有,有,無,7500,98,,0.0,0,,RPXNMLOKNHPFFAH76CC
桃園區,建物,桃園市桃園區大業路一段19巷61~90號,0.0,住,,,1090426,土地0建物1車位1,八層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011010,208.35000000000002,3,2,2,有,有,有,30000,144,坡道平面,30.69,0,租金含管理費。,RPUPMLOKNHPFFAH66CC
中壢區,建物,桃園市中壢區吳鳳一街1~30號,0.0,住,,,1090429,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700213,73.74,3,2,2,有,無,有,8700,118,,0.0,0,,RPQQMLOKNHPFFBH09CC
中壢區,建物,桃園市中壢區龍吉二街3巷1~30號,0.0,住,,,1090506,土地0建物1車位0,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850322,97.09,3,2,2,有,無,有,7500,77,,0.0,0,,RPVOMLPKNHPFFBH86CC
中壢區,建物,桃園市中壢區桃園市中壢區永泰路151~180號,0.0,住,,,1090425,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000330,170.06,3,2,2,有,有,無,20000,118,,0.0,0,,RPPRMLPKNHPFFBH56CC
中壢區,房地(土地+建物)+車位,桃園市中壢區青商路31~60號,426.35,住,,,1090427,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060302,175.92,3,2,2,有,有,有,14400,82,坡道平面,0.0,0,本案租金不含管理費＄3215及停車費用＄2500,RPTRMLPKNHPFFBH96CC
桃園區,建物,桃園市桃園區永安路61~90號,0.0,商,,,1090425,土地0建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,111.19,2,2,1,有,有,有,18000,162,坡道機械,14.24,0,租金含管理費。,RPUNMLPKNHPFFAH56CC
桃園區,建物,桃園市桃園區中正五街271~300號,0.0,住,,,1090430,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830709,137.79,3,2,2,有,有,有,14600,106,,0.0,0,,RPOOMLPKNHPFFAH68CC
桃園區,建物,桃園市桃園區正康三街211~240號,0.0,住,,,1090420,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820823,25.599999999999998,2,2,1,有,無,有,11400,445,,0.0,0,,RPPPMLPKNHPFFAH88CC
桃園區,房地(土地+建物),桃園市桃園區三民路三段271~300號,44.5,住,,,1090511,土地2建物1車位0,九層,15,辦公商業大樓,見其他登記事項,見其他登記事項,0800819,0.29,0,0,0,無,有,有,1500,0,,0.0,0,,RPORMLPKNHPFFAH98CC
桃園區,房地(土地+建物),桃園市桃園區三民路三段271~300號,44.5,住,,,1090511,土地2建物1車位0,九層,15,辦公商業大樓,見其他登記事項,見其他登記事項,0800819,0.29,0,0,0,無,有,有,1500,0,,0.0,0,,RPQRMLPKNHPFFAH56CC
桃園區,建物,桃園市桃園區經國路61~90號,0.0,住,,,1090424,土地0建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930310,79.89,2,2,1,有,有,有,12000,150,,0.0,0,租金含管理費。,RPURMLPKNHPFFAH96CC
大溪區,建物,桃園市大溪區員林路一段3巷31~60號,0.0,住,,,1090427,土地0建物1車位1,九層,18,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0941012,141.33,1,1,1,有,有,有,13400,95,坡道平面,35.93,0,社會住宅管理費2600/月,RPUNMLPKNHPFFCH76CC
大溪區,建物,桃園市大溪區復興二段691~720號,0.0,,鄉村區,乙種建築用地,1090508,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0680110,117.02,3,2,2,有,無,有,10000,85,,0.0,0,,RPVNMLPKNHPFFCH86CC
大溪區,建物,桃園市大溪區石園路63巷31~60號,0.0,,鄉村區,乙種建築用地,1090504,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670531,88.47,3,2,2,有,無,有,7000,79,,0.0,0,社會住宅 清絜費/100月,RPXNMLPKNHPFFCH07CC
龍潭區,建物,桃園市龍潭區中豐路上林段477巷1弄1~30號,0.0,,一般農業區,甲種建築用地,1090512,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0720625,122.12,3,2,2,有,無,有,8000,66,,0.0,0,社會住宅,RPOOMLPKNHPFFCH88CC
大溪區,建物,桃園市大溪區員林路一段31~60號,0.0,住,,,1090512,土地0建物1車位1,九層,21,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030926,202.03,2,2,2,有,有,有,18100,85,坡道平面,35.93,0,社會住宅管理費3900/月內含車位租金,RPPOMLPKNHPFFCH98CC
平鎮區,房地(土地+建物)+車位,桃園市平鎮區大連街91~120號,15.47,商,,,1090502,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050701,124.96,3,2,2,有,無,有,18500,148,坡道平面,33.69,0,急出租急承租。;,RPROMLPKNHPFFGH07DC
大園區,房地(土地+建物),桃園市大園區新生路四段121~150號,67.51,住,,,1090423,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1051005,258.49,1,1,1,有,無,有,35000,135,,0.0,0,,RPSQMLPKNHPFFEH17DC
楊梅區,建物,桃園市楊梅區武營街91~120號,0.0,住,,,1090501,土地0建物1車位0,五層,8,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0840224,92.79,3,2,1,有,有,有,7000,75,,0.0,0,,RPVNMLPKNHPFFDH96CC
楊梅區,建物,桃園市楊梅區金山街368巷31~60號,0.0,住,,,1090415,土地0建物1車位1,十層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060802,125.31,2,1,1,有,有,有,16500,132,坡道平面,31.7,0,,RPUOMLPKNHPFFDH96CC
蘆竹區,建物,桃園市蘆竹區山腳村8鄰山腳91~120號,0.0,,一般農業區,甲種建築用地,1090508,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831012,116.28,3,2,1,有,無,有,8000,69,,0.0,0,,RPTOMLPKNHPFFEH96CC
蘆竹區,建物,桃園市蘆竹區南山路一段391~420號,0.0,工,,,1090417,土地0建物1車位0,見其他登記事項,2,工廠,見其他登記事項,見其他登記事項,0911118,756.91,0,0,0,無,無,有,115000,,,0.0,0,第一年~第五年月租金11.5萬;第六年~第十年月租金12.5萬。,RPXPMLPKNHPFFEH47CC
平鎮區,建物,桃園市平鎮區復旦路二段150巷151~180號,0.0,住,,,1090505,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0980403,221.35,4,2,4,有,無,有,20200,91,,0.0,0,,RPSNMLPKNHPFFGH96CC
平鎮區,建物,桃園市平鎮區南平路121~150號,0.0,住,,,1090501,土地0建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030711,139.17,2,1,1,有,無,有,15000,108,坡道平面,30.21,0,社會住宅 管理費1648/月 車位250/月,RPTNMLPKNHPFFGH07CC
