鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮博愛路100巷31~60號,19.1,住,,,1081205,土地3建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870522,123.06,3,2,2,有,無,5900000,47944,,0.0,0,,RPTNMLMJJHPFFAG97CA
蘇澳鎮,土地,南安段1411~1440地號,291.0,工,,,1081210,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15840000,54433,,0.0,0,未辦保存登記建物2棟,RPVNMLMJJHPFFAG18CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉廣安路51巷1~30號,184.14,,特定農業區,甲種建築用地,1081213,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670425,141.6,5,3,5,有,無,9700000,68503,,0.0,0,1、2、3樓後方增建,RPTOMLLMKIOFFAG38CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中山路四段123巷1~30號,18.7,商,,,1081125,土地2建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870528,90.09,3,1,1,有,無,3550000,39405,,0.0,0,,RPQOMLLMKIOFFAG08CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉武罕二路132巷31~60號,232.62,,特定農業區,農牧用地,1080823,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080912,166.91,4,2,4,有,無,8650000,51824,,0.0,0,,RPROMLOJJHPFFAG08CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉武罕二路132巷31~60號,233.18,,特定農業區,甲種建築用地,1080926,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080912,166.91,4,2,4,有,無,8900000,53322,,0.0,0,,RPSOMLOJJHPFFAG18CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉武罕二路132巷31~60號,223.91,,特定農業區,農牧用地,1080202,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080912,166.91,4,2,4,有,無,8500000,50926,,0.0,0,,RPUOMLOJJHPFFAG38CA
三星鄉,房地(土地+建物),宜蘭縣三星鄉大坑六路57巷1~30號,116.0,,特定農業區,甲種建築用地,1081117,土地5建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1050628,123.91,3,2,3,有,無,6990000,56412,,0.0,0,,RPTOMLTJJHPFFAG78CA
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉二結路451~480號,30.94,住,,,1081009,土地5建物1車位1,二層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1081007,87.18,2,2,1,有,有,4850000,55632,一樓平面,0.0,0,,RPRPMLOKJHPFFAG28CA
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉二結路451~480號,32.27,住,,,1081012,土地5建物1車位1,五層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1081007,95.94,2,2,2,有,有,6500000,67751,一樓平面,0.0,0,,RPTPMLOKJHPFFAG48CA
